|6.6.6
in17a_1.tab                                                                                         
           2
T(K)    
   673.000800000000     
   8.08079191920000     
         100
P(bar)  
   30000.0500000000     
   505.049494950000     
         100
           5
rho,kg/m3      vp,km/s        vs,km/s        C1M(HP)        M(HP),vo%     
  3451.938       7.805116       4.468368                NaN            NaN
  3450.569       7.797992       4.465392                NaN            NaN
  3449.249       7.790964       4.462538                NaN            NaN
  3430.479       7.959860       4.423463      0.7791315       6.589103    
  3429.661       7.958847       4.421884      0.7679648       6.587598    
  3428.878       7.955615       4.419530      0.7679648       6.588765    
  3428.077       7.955031       4.418121      0.7567982       6.587282    
  3427.289       7.951797       4.415770      0.7567982       6.588444    
  3426.481       7.951182       4.414363      0.7456315       6.587156    
  3425.624       7.950217       4.412777      0.7344648       6.585639    
  3424.827       7.946981       4.410434      0.7344648       6.586787    
  3423.897       7.945466       4.408628      0.7232982       6.585567    
  3423.095       7.942226       4.406287      0.7232982       6.586711    
  3422.309       7.941736       4.404979      0.7121315       6.585389    
  3421.502       7.938492       4.402641      0.7121315       6.586527    
  3420.595       7.937263       4.400919      0.6994759       6.585362    
  3419.623       7.935534       4.399028      0.6875648       6.584326    
  3418.809       7.932285       4.396697      0.6875648       6.585453    
  3417.939       7.931221       4.395078      0.6756537       6.584155    
  3417.120       7.927968       4.392749      0.6756537       6.585276    
  3416.126       7.925892       4.390682      0.6629982       6.584084    
  3415.079       7.923463       4.388429      0.6503426       6.582870    
  3413.812       7.917151       4.384491      0.6421537       6.583125    
  3417.270       7.934803       4.396208      0.6469851       6.592713    
  3417.382       7.934573       4.396406      0.6444859       6.595755    
  3421.790       7.947960       4.408210      0.6361982       6.609287    
